reference,account,beneficiary_name,beneficiary_account_number,beneficiary_iban,amount,currency,payment_date,status,is_batch
PMT0001,ACC1001,Vendor A,,DE89370400440532013000,120.50,EUR,2025-01-01 09:00:00,Processed,false
PMT0002,ACC1001,Vendor B,123456789,,250.00,EUR,2025-01-02 10:15:00,Processed,true
PMT0003,ACC1001,Vendor C,,FR7630006000011234567890189,75.20,EUR,2025-01-03 11:30:00,In Progress,false
PMT0004,ACC1001,Vendor D,99887766,,640.00,EUR,2025-01-04 14:00:00,Processed,false
PMT0005,ACC1001,Vendor E,,NL91ABNA0417164300,310.75,EUR,2025-01-05 16:45:00,Failed,true
PMT0006,ACC1001,Vendor F,44556677,,90.00,EUR,2025-01-06 09:20:00,Processed,false
PMT0007,ACC1001,Vendor G,,GB82WEST12345698765432,1800.00,EUR,2025-01-07 13:10:00,Processed,true
PMT0008,ACC1001,Vendor H,33445566,,410.40,EUR,2025-01-08 15:00:00,In Progress,false
PMT0009,ACC1001,Vendor I,,IT60X0542811101000000123456,560.00,EUR,2025-01-09 17:30:00,Processed,false
PMT0010,ACC1001,Vendor J,77889900,,220.00,EUR,2025-01-10 08:50:00,Processed,true
PMT0011,ACC2001,Vendor K,,DE44500105175407324931,150.00,EUR,2025-01-11 09:10:00,Processed,false
PMT0012,ACC2001,Vendor L,55443322,,980.00,EUR,2025-01-12 10:20:00,In Progress,true
PMT0013,ACC2001,Vendor M,,BE68539007547034,45.00,EUR,2025-01-13 11:40:00,Processed,false
PMT0014,ACC2001,Vendor N,66778899,,330.00,EUR,2025-01-14 14:30:00,Failed,false
PMT0015,ACC2001,Vendor O,,ES9121000418450200051332,760.25,EUR,2025-01-15 16:15:00,Processed,true
PMT0016,ACC2001,Vendor P,11223344,,60.00,EUR,2025-01-16 09:00:00,Processed,false
PMT0017,ACC2001,Vendor Q,,CH9300762011623852957,1400.00,EUR,2025-01-17 13:25:00,Processed,true
PMT0018,ACC2001,Vendor R,88990011,,510.00,EUR,2025-01-18 15:50:00,In Progress,false
PMT0019,ACC2001,Vendor S,,AT611904300234573201,295.00,EUR,2025-01-19 17:10:00,Processed,false
PMT0020,ACC2001,Vendor T,22334455,,180.00,EUR,2025-01-20 08:40:00,Processed,true
PMT0021,ACC3001,Vendor U,,DE12500105170648489890,800.00,EUR,2025-01-21 09:30:00,Processed,false
PMT0022,ACC3001,Vendor V,99880077,,95.00,EUR,2025-01-22 10:45:00,In Progress,true
PMT0023,ACC3001,Vendor W,,FI2112345600000785,450.00,EUR,2025-01-23 11:55:00,Processed,false
PMT0024,ACC3001,Vendor X,77665544,,670.00,EUR,2025-01-24 14:10:00,Failed,false
PMT0025,ACC3001,Vendor Y,,PT50000201231234567890154,1200.00,EUR,2025-01-25 16:35:00,Processed,true
PMT0026,ACC3001,Vendor Z,55446688,,75.00,EUR,2025-01-26 09:05:00,Processed,false
PMT0027,ACC3001,Vendor AA,,SE4550000000058398257466,990.00,EUR,2025-01-27 13:45:00,Processed,true
PMT0028,ACC3001,Vendor AB,33221100,,410.00,EUR,2025-01-28 15:20:00,In Progress,false
PMT0029,ACC3001,Vendor AC,,NO9386011117947,260.00,EUR,2025-01-29 17:00:00,Processed,false
PMT0030,ACC3001,Vendor AD,66779988,,190.00,EUR,2025-01-30 08:55:00,Processed,true
PMT0031,ACC4001,Vendor AE,,DE02500105170648489891,300.00,EUR,2025-02-01 09:10:00,Processed,false
PMT0032,ACC4001,Vendor AF,99887755,,720.00,EUR,2025-02-02 10:35:00,In Progress,true
PMT0033,ACC4001,Vendor AG,,IE29AIBK93115212345678,55.00,EUR,2025-02-03 11:50:00,Processed,false
PMT0034,ACC4001,Vendor AH,11224466,,660.00,EUR,2025-02-04 14:25:00,Failed,false
PMT0035,ACC4001,Vendor AI,,DK5000400440116243,840.00,EUR,2025-02-05 16:40:00,Processed,true
PMT0036,ACC4001,Vendor AJ,22335577,,105.00,EUR,2025-02-06 09:00:00,Processed,false
PMT0037,ACC4001,Vendor AK,,PL10105000997603123456789123,1500.00,EUR,2025-02-07 13:35:00,Processed,true
PMT0038,ACC4001,Vendor AL,44556688,,390.00,EUR,2025-02-08 15:10:00,In Progress,false
PMT0039,ACC4001,Vendor AM,,CZ6508000000192000145399,275.00,EUR,2025-02-09 17:20:00,Processed,false
PMT0040,ACC4001,Vendor AN,77889911,,210.00,EUR,2025-02-10 08:45:00,Processed,true
